"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"AFB_Repo","AFB",3,"proband",0.0832859597465,0.0528463319134304
"AFB_Repo","AFB",3,"paternal",0.0357070534728873,0.0670270685747328
"AFB_Repo","AFB",3,"maternal",0.112936921135189,0.0685354071841624
"AFB_Repo","AFB",3,"gp",0.00706768351975696,0.0565014785418856
"AFB_Repo","AFB",3,"gm",-0.0401903061936169,0.0601955177345207
"AFB_Repo","NEB",1,"proband",-0.019183079128725,0.0317715643479039
"AFB_Repo","NEB",2,"proband",-0.0138856497133953,0.0447307680356085
"AFB_Repo","NEB",2,"paternal",-0.0120728815904888,0.0393062214661602
"AFB_Repo","NEB",2,"maternal",0.00178712498102351,0.0384664211563027
"AFB_Repo","NEB",3,"proband",-0.0152057896591722,0.0447856245045851
"AFB_Repo","NEB",3,"paternal",0.0151689285485951,0.0529183540998252
"AFB_Repo","NEB",3,"maternal",0.000378548870363074,0.052640383634161
"AFB_Repo","NEB",3,"gp",-0.0335495186979732,0.0428553003512756
"AFB_Repo","NEB",3,"gm",0.00844717841068894,0.0452402554694799
"AFB_Repo","EVSMK",1,"proband",-0.0860408799303351,0.0238713313566189
"AFB_Repo","EVSMK",2,"proband",-0.0668983720189494,0.0314598803354895
"AFB_Repo","EVSMK",2,"paternal",-0.0268476041558623,0.0307140392716167
"AFB_Repo","EVSMK",2,"maternal",-0.0182195522939477,0.0305352578015786
"AFB_Repo","EVSMK",3,"proband",-0.0641265580025523,0.0314577828825964
"AFB_Repo","EVSMK",3,"paternal",-0.10439873365132,0.0437183382124875
"AFB_Repo","EVSMK",3,"maternal",-0.0340203175300586,0.0422877270962313
"AFB_Repo","EVSMK",3,"gp",0.0901594941877396,0.0365008375664077
"AFB_Repo","EVSMK",3,"gm",0.00408341556188655,0.0369927451203796
"AFB_Repo","CPD.Max",1,"proband",-0.100786804211844,0.0237453361894291
"AFB_Repo","CPD.Max",2,"proband",-0.0737213295457659,0.0315403670370417
"AFB_Repo","CPD.Max",2,"paternal",-0.0427006862963964,0.0303901207728516
"AFB_Repo","CPD.Max",2,"maternal",-0.0196371342621188,0.0302323610451996
"AFB_Repo","CPD.Max",3,"proband",-0.0713413891232453,0.0315531789917589
"AFB_Repo","CPD.Max",3,"paternal",-0.103077939666867,0.0433496597371989
"AFB_Repo","CPD.Max",3,"maternal",-0.0246254036487625,0.0418402522530132
"AFB_Repo","CPD.Max",3,"gp",0.0707034253950529,0.0361544088053653
"AFB_Repo","CPD.Max",3,"gm",-0.00621966381285929,0.0365426248096622
"AFB_Repo","CPD.Cur",1,"proband",-0.0610668574606421,0.0236691747621548
"AFB_Repo","CPD.Cur",2,"proband",-0.0411187608458634,0.0320560955944213
"AFB_Repo","CPD.Cur",2,"paternal",-0.0241461145911516,0.0299837534558757
"AFB_Repo","CPD.Cur",2,"maternal",-0.020187636243501,0.0298320805043059
"AFB_Repo","CPD.Cur",3,"proband",-0.0410024478659817,0.0320943776382337
"AFB_Repo","CPD.Cur",3,"paternal",-0.0265504244511357,0.0427600313267608
"AFB_Repo","CPD.Cur",3,"maternal",-0.0219965570314979,0.0411088796853949
"AFB_Repo","CPD.Cur",3,"gp",0.0025599981594737,0.0354330647839876
"AFB_Repo","CPD.Cur",3,"gm",0.00178042234500113,0.0356955580972441
"AFB_Repo","CESD",1,"proband",-0.0587192906302791,0.0235253188772681
"AFB_Repo","CESD",2,"proband",-0.0847314673080641,0.0323668531715293
"AFB_Repo","CESD",2,"paternal",0.0149278834339659,0.0294985959062061
"AFB_Repo","CESD",2,"maternal",0.0407717911617262,0.0294142366091185
"AFB_Repo","CESD",3,"proband",-0.0872947228303773,0.0323691551138667
"AFB_Repo","CESD",3,"paternal",0.0810447378930976,0.0419974087052543
"AFB_Repo","CESD",3,"maternal",0.077639137051069,0.0401092360310669
"AFB_Repo","CESD",3,"gp",-0.0725458680561124,0.0345117468658271
"AFB_Repo","CESD",3,"gm",-0.0331859703680435,0.0345228245279215
"AFB_Repo","MDD",1,"proband",-0.0339319341267989,0.0230107802484503
"AFB_Repo","MDD",2,"proband",-0.0894739567939458,0.0324707267154746
"AFB_Repo","MDD",2,"paternal",0.0518485726610597,0.0285090970932325
"AFB_Repo","MDD",2,"maternal",0.0599771436548258,0.0284591933602347
"AFB_Repo","MDD",3,"proband",-0.0913754805447553,0.0324699441893735
"AFB_Repo","MDD",3,"paternal",0.104062214371239,0.0404848090574531
"AFB_Repo","MDD",3,"maternal",0.115632775885869,0.0383741968549652
"AFB_Repo","MDD",3,"gp",-0.0532523709218434,0.0329623445530962
"AFB_Repo","MDD",3,"gm",-0.0603390754930327,0.0327303606452904
"AFB_Repo","BMI",1,"proband",-0.0836880099438151,0.0239594360987349
"AFB_Repo","BMI",2,"proband",-0.076617181583625,0.0305659057330504
"AFB_Repo","BMI",2,"paternal",-0.0257504611846656,0.0317013345298063
"AFB_Repo","BMI",2,"maternal",0.00793375360846959,0.031532185909427
"AFB_Repo","BMI",3,"proband",-0.0770896629769711,0.0305848566280284
"AFB_Repo","BMI",3,"paternal",0.00353078106818252,0.0454997936297719
"AFB_Repo","BMI",3,"maternal",0.0579699538281042,0.0443236531308495
"AFB_Repo","BMI",3,"gp",-0.0288669750709704,0.0384943559975386
"AFB_Repo","BMI",3,"gm",-0.057973054972716,0.0392147790802205
"AFB_Repo","DBP",1,"proband",-0.0449656880584787,0.023711800942258
"AFB_Repo","DBP",2,"proband",-0.0381835040705693,0.0318524233932944
"AFB_Repo","DBP",2,"paternal",0.00681710947577964,0.0302288310845997
"AFB_Repo","DBP",2,"maternal",-0.0225226118340247,0.0301043444023634
"AFB_Repo","DBP",3,"proband",-0.0375223860368857,0.0318859944330192
"AFB_Repo","DBP",3,"paternal",-0.0085955076458927,0.0433630217597309
"AFB_Repo","DBP",3,"maternal",-0.0251941537870923,0.0417273968756694
"AFB_Repo","DBP",3,"gp",0.0178029046810584,0.0361149643295966
"AFB_Repo","DBP",3,"gm",0.00016855336892065,0.0363879848832117
"AFB_Repo","SBP",1,"proband",-0.0565862802149112,0.0237188231184178
